Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
T.J. Hockenson,TE7,TE,MIN,4507.12,28.0,No,TE7,5357.42,,0
Jaylen Waddle,WR27,WR,MIA,4473,26.6,No,WR27,5346,,0
2027 Late 1st,,PI,,4472.99,,,,5236,,0
2026 Late 1st,,PI,,4438,,,,5259,,0
Matthew Golden,WR29,WR,GBP,4337,21.9,Yes,WR30,5247,,0
Chris Olave,WR28,WR,NOS,4336.99,25.0,No,WR31,5246,,0
Terry McLaurin,WR30,WR,WAS,4302,29.8,No,WR28,5304,,0
D.J. Moore,WR31,WR,CHI,4286,28.2,No,WR32,5232,,0
George Pickens,WR32,WR,DAL,4277,24.4,No,WR29,5282,,0
Ricky Pearsall,WR33,WR,SFO,4263,24.8,No,WR33,5127,,0
Chuba Hubbard,RB21,RB,CAR,4232,26.1,No,RB21,5168,,0
Jaxson Dart,QB23,QB,NYG,4199,22.2,Yes,QB24,3641,,0
Justin Fields,QB24,QB,NYJ,3893,26.4,No,QB23,3658,,0
Luther Burden,WR35,WR,CHI,3878,21.6,Yes,WR34,4775,,0
Mike Evans,WR34,WR,TBB,3877.99,31.9,No,WR37,4726,,0
Tyreek Hill,WR36,WR,MIA,3809,31.4,No,WR39,4617,,0
Josh Downs,WR37,WR,IND,3792,23.9,No,WR35,4757,,0
Tucker Kraft,TE8,TE,GBP,3776.12,24.7,No,TE9,4564.82,,0
Jayden Higgins,WR38,WR,HOU,3774,22.6,Yes,WR36,4743,,0
Tua Tagovailoa,QB25,QB,MIA,3773.99,27.4,No,QB25,3378,,0
Isaiah Likely,TE9,TE,BAL,3771.15,25.2,No,TE8,4632.45,,0
2025 Early 2nd,,PI,,3768,,,,4607,,0
Jerry Jeudy,WR39,WR,CLE,3766,26.2,No,WR38,4624,,0
Alvin Kamara,RB22,RB,NOS,3702,30.0,No,RB22,4590,,0
Chris Godwin,WR40,WR,TBB,3673,29.4,No,WR41,4531,,0
Brandon Aiyuk,WR41,WR,SFO,3660,27.3,No,WR40,4588,,0
Davante Adams,WR42,WR,LAR,3647,32.5,No,WR42,4474,,0
Dalton Kincaid,TE10,TE,BUF,3620.73,25.7,No,TE10,4508.43,,0
Jayden Reed,WR43,WR,GBP,3586,25.2,No,WR43,4457,,0
Courtland Sutton,WR44,WR,DEN,3547,29.8,No,WR45,4406,,0
Sam Darnold,QB26,QB,SEA,3545,28.1,No,QB28,3002,,0
Khalil Shakir,WR45,WR,BUF,3529,25.4,No,WR46,4404,,0
David Montgomery,RB23,RB,DET,3525,28.1,No,RB23,4448,,0
Tre Harris,WR46,WR,LAC,3518,23.4,Yes,WR44,4421,,0
Kyle Pitts,TE11,TE,ATL,3498.95,24.8,No,TE11,4311.85,,0
David Njoku,TE12,TE,CLE,3496.18,29.0,No,TE12,4272.78,,0
Joe Mixon,RB24,RB,HOU,3489,29.0,No,RB24,4324,,0
Mark Andrews,TE13,TE,BAL,3480.15,29.8,No,TE13,4098.35,,0
2026 Early 2nd,,PI,,3446,,,,4180,,0
Keon Coleman,WR47,WR,BUF,3438,22.2,No,WR47,4262,,0
Cam Skattebo,RB25,RB,NYG,3433,23.4,Yes,RB25,4306,,0
Mason Taylor,TE14,TE,NYJ,3316.01,21.2,Yes,TE14,4032.11,,0
2027 Early 2nd,,PI,,3301,,,,4046,,0
Zach Charbonnet,RB26,RB,SEA,3298,24.5,No,RB27,4122,,0
Evan Engram,TE15,TE,DEN,3294.48,30.8,No,TE15,3998.48,,0
D'Andre Swift,RB27,RB,CHI,3294,26.5,No,RB26,4144,,0
James Conner,RB28,RB,ARI,3251,30.2,No,RB29,4119,,0
Michael Pittman,WR48,WR,IND,3246,27.8,No,WR49,3984,,0
Trey Benson,RB29,RB,ARI,3243,23.0,No,RB28,4121,,0
2025 Mid 2nd,,PI,,3241,,,,4105,,0
Jakobi Meyers,WR49,WR,LVR,3222,28.7,No,WR48,4032,,0
Travis Kelce,TE16,TE,KCC,3212.78,35.8,No,TE16,3870.58,,0
Isiah Pacheco,RB31,RB,KCC,3211,26.4,No,RB30,4056,,0
Brian Robinson,RB30,RB,WAS,3210.99,26.3,No,RB31,4017,,0
Terrance Ferguson,TE17,TE,LAR,3202.31,22.3,Yes,TE17,3826.01,,0
Kyle Williams,WR50,WR,NEP,3183,22.6,Yes,WR52,3911,,0
Brenton Strange,TE18,TE,JAC,3174.14,24.5,No,TE18,3819.84,,0
Jauan Jennings,WR51,WR,SFO,3155,28.0,No,WR51,3951,,0
Jake Ferguson,TE19,TE,DAL,3138.31,26.5,No,TE19,3820.31,,0
2026 Mid 2nd,,PI,,3124,,,,3793,,0
Travis Etienne,RB32,RB,JAC,3122,26.4,No,RB34,3783,,0
Jack Bech,WR52,WR,LVR,3115,22.6,Yes,WR50,3969,,0
Geno Smith,QB27,QB,LVR,3084,34.8,No,QB30,2770,,0
Tyrone Tracy,RB33,RB,NYG,3083,25.6,No,RB32,3878,,0
Jalen Milroe,QB28,QB,SEA,3082,22.6,Yes,QB26,3166,,0
Bhayshul Tuten,RB34,RB,JAC,3066,22.4,Yes,RB33,3791,,0
2027 Mid 2nd,,PI,,3062,,,,3640.99,,0
Matthew Stafford,QB29,QB,LAR,3038,37.4,No,QB29,2787,,0
Calvin Ridley,WR53,WR,TEN,3025,30.6,No,WR54,3731,,0
Aaron Jones,RB35,RB,MIN,3017,30.6,No,RB37,3697,,0
2025 Late 2nd,,PI,,3010,,,,3721,,0
Tony Pollard,RB36,RB,TEN,3005,28.2,No,RB35,3773,,0
Anthony Richardson,QB30,QB,IND,2992,23.1,No,QB27,3053,,0
Cade Otton,TE20,TE,TBB,2983.54,26.2,No,TE20,3513.74,,0
Jordan Mason,RB37,RB,MIN,2977,26.1,No,RB36,3770,,0
Dallas Goedert,TE21,TE,PHI,2953.21,30.5,No,TE25,3397.61,,0
Jalen McMillan,WR54,WR,TBB,2928,23.6,No,WR55,3684,,0
Ben Sinnott,TE22,TE,WAS,2926.76,23.1,No,TE22,3467.96,,0
Jonnu Smith,TE23,TE,PIT,2913.52,29.9,No,TE23,3467.92,,0
Harold Fannin,TE24,TE,CLE,2908.54,21.0,Yes,TE21,3504.74,,0
Elijah Arroyo,TE25,TE,SEA,2900.27,22.3,Yes,TE24,3443.67,,0
Darnell Mooney,WR55,WR,ATL,2899,27.7,No,WR56,3630,,0
2026 Late 2nd,,PI,,2885,,,,3399,,0
Jaylin Noel,WR56,WR,HOU,2880,22.8,Yes,WR53,3737,,0
Jaylen Warren,RB38,RB,PIT,2862,26.7,No,RB39,3607,,0
Tyjae Spears,RB39,RB,TEN,2858,24.1,No,RB38,3631,,0
Deebo Samuel,WR57,WR,WAS,2846,29.5,No,WR57,3545,,0
Tyler Shough,QB31,QB,NOS,2834,25.8,Yes,QB32,2165,,0
Marvin Mims,WR59,WR,DEN,2820,23.3,No,WR59,3479,,0
Stefon Diggs,WR58,WR,NEP,2819.99,31.6,No,WR61,3439,,0
