Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Greg Dulcich,TE60,TE,NYG,1291.06,25.3,No,TE59,1424.16,,0
Mac Jones,QB47,QB,SFO,1288,26.8,No,QB48,867,,0
Riley Leonard,QB48,QB,IND,1285,22.8,Yes,QB49,840,,0
Tahj Washington,WR125,WR,MIA,1281,24.2,No,WR126,1445,,0
Devontez Walker,WR126,WR,BAL,1278,24.1,No,WR122,1534,,0
Will Levis,QB49,QB,TEN,1276,26.0,No,QB45,1031,,0
KeAndre Lambert-Smith,WR127,WR,LAC,1267,23.7,Yes,WR131,1363,,0
Ty Johnson,RB89,RB,BUF,1263,27.8,No,RB90,1469,,0
Davis Allen,TE61,TE,LAR,1243.51,24.4,No,TE61,1316.11,,0
Khalil Herbert,RB90,RB,IND,1224,27.2,No,RB92,1402,,0
Kenneth Gainwell,RB91,RB,PIT,1223,26.3,No,RB89,1478,,0
Kimani Vidal,RB92,RB,LAC,1213,23.9,No,RB87,1496,,0
Arian Smith,WR128,WR,NYJ,1203,23.8,Yes,WR133,1341,,0
Nick Nash,WR129,WR,ATL,1201,24.9,Yes,WR138,1254,,0
Jonathan Mingo,WR130,WR,DAL,1193,24.2,No,WR132,1358,,0
John Metchie,WR131,WR,HOU,1191,25.0,No,WR127,1417,,0
Kalel Mullings,RB93,RB,TEN,1188,22.8,Yes,RB102,1175,,0
Xavier Hutchinson,WR133,WR,HOU,1182,25.1,No,WR129,1369,,0
Mike Williams,WR132,WR,LAC,1181.99,30.8,No,WR136,1296,,0
2027 Late 4th,,PI,,1180,,,,1395,,0
Irv Smith,TE62,TE,HOU,1178.69,26.9,No,TE66,1126.99,,0
Jaheim Bell,TE63,TE,NEP,1178.17,24.1,No,TE63,1183.67,,0
Zach Wilson,QB50,QB,MIA,1173,25.9,No,QB51,696,,0
Jeremy Ruckert,TE64,TE,NYJ,1172.62,24.9,No,TE62,1186.92,,0
Donovan Edwards,RB94,RB,NYJ,1160,22.4,Yes,RB96,1275,,0
Rondale Moore,WR134,WR,MIN,1156,25.1,No,WR128,1400,,0
Greg Dortch,WR135,WR,ARI,1138,27.1,No,WR134,1310,,0
Kendrick Bourne,WR136,WR,NEP,1137,29.9,No,WR130,1366,,0
Alexander Mattison,RB95,RB,MIA,1129,27.1,No,RB97,1227,,0
Treylon Burks,WR137,WR,TEN,1112,25.3,No,WR135,1303,,0
Israel Abanikanda,RB96,RB,SFO,1107,22.8,No,RB98,1206,,0
Ray-Ray McCloud,WR138,WR,ATL,1103,28.7,No,WR139,1245,,0
Dameon Pierce,RB97,RB,HOU,1100,25.4,No,RB93,1319,,0
Raheim Sanders,RB98,RB,LAC,1099,23.1,Yes,RB95,1288,,0
Antonio Gibson,RB99,RB,NEP,1097,27.0,No,RB94,1292,,0
Jelani Woods,TE65,TE,IND,1095.85,26.8,No,TE64,1140.95,,0
Foster Moreau,TE66,TE,NOS,1093.07,28.2,No,TE67,1119.47,,0
Jordan Watkins,WR139,WR,SFO,1093,23.4,Yes,WR145,1127,,0
Luke Lachey,TE67,TE,HOU,1083.12,24.0,Yes,TE65,1142.52,,0
Bub Means,WR140,WR,NOS,1070,24.5,No,WR137,1265.99,,0
Noah Brown,WR141,WR,WAS,1068,29.5,No,WR142,1173,,0
Brock Wright,TE68,TE,DET,1065.47,26.6,No,TE68,1102.87,,0
Tyquan Thornton,WR142,WR,KCC,1051,24.9,No,WR140,1243,,0
Chris Rodriguez,RB100,RB,WAS,1049,25.8,No,RB99,1204,,0
AJ Dillon,RB101,RB,PHI,1048,27.2,No,RB104,1139,,0
Hendon Hooker,QB51,QB,DET,1043,27.5,No,QB53,592,,0
Stone Smartt,TE69,TE,NYJ,1042.9,26.8,No,TE69,1036.3,,0
Cam Akers,RB102,RB,NOS,1037,26.0,No,RB103,1154,,0
Tyler Goodson,RB104,RB,IND,1035,24.7,No,RB101,1176,,0
Raheem Mostert,RB103,RB,LVR,1034.99,33.2,No,RB107,1062,,0
Aidan O'Connell,QB52,QB,LVR,1034,26.8,No,QB50,708,,0
Mason Rudolph,QB53,QB,PIT,1012,30.0,No,QB56,443,,0
Xavier Gipson,WR143,WR,NYJ,1011,24.3,No,WR141,1188,,0
Frank Gore Jr.,RB105,RB,BUF,1006,23.3,No,RB100,1189,,0
Brenden Rice,WR144,WR,LAC,994,23.3,No,WR144,1126.98,,0
Josh Oliver,TE70,TE,MIN,983.45,28.3,No,TE70,910.85,,0
Jake Bobo,WR145,WR,SEA,973,26.9,No,WR146,1119,,0
Brandin Cooks,WR146,WR,NOS,972,31.8,No,WR143,1126.97,,0
Drew Lock,QB54,QB,SEA,971.99,28.7,No,QB52,666,,0
Gardner Minshew,QB55,QB,KCC,970,29.2,No,QB54,499,,0
Gabriel Davis,WR147,WR,FA,968,26.3,No,WR147,1113,,0
Johnny Wilson,WR148,WR,PHI,962,24.3,No,WR148,1094,,0
Ty Chandler,RB106,RB,MIN,958,27.2,No,RB109,1019,,0
Rasheen Ali,RB107,RB,BAL,956,24.4,No,RB106,1133,,0
Bo Melton,WR149,WR,GBP,953,26.2,No,WR149,1026,,0
Sincere McCormick,RB108,RB,LVR,948,24.8,No,RB105,1136,,0
Zamir White,RB109,RB,LVR,945,25.8,No,RB108,1039,,0
JuJu Smith-Schuster,WR150,WR,KCC,944,28.6,No,WR152,997,,0
KaVontae Turpin,WR151,WR,DAL,940,28.9,No,WR151,1009,,0
Demarcus Robinson,WR152,WR,SFO,934,30.8,No,WR150,1015,,0
Tim Patrick,WR153,WR,DET,930,31.6,No,WR155,971,,0
Olamide Zaccheaus,WR154,WR,CHI,913,28.0,No,WR160,955,,0
Kyle McCord,QB56,QB,PHI,910,22.8,Yes,QB69,237,,0
Marquez Valdes-Scantling,WR155,WR,SEA,909,30.8,No,WR157,963,,0
Efton Chism,WR156,WR,NEP,908,-1.0,Yes,WR159,956,,0
Kendall Milton,RB110,RB,CIN,903,23.4,No,RB111,979,,0
Jamari Thrash,WR157,WR,CLE,886,24.6,No,WR154,973,,0
K.J. Osborn,WR159,WR,WAS,885,28.1,No,WR156,968,,0
Allen Lazard,WR158,WR,NYJ,884.99,29.6,No,WR161,953,,0
Carson Steele,RB111,RB,KCC,877,22.7,No,RB110,981,,0
Tyler Johnson,WR160,WR,NYJ,876.99,26.9,No,WR163,912,,0
Josh Whyle,TE71,TE,TEN,873.72,25.8,No,TE71,897.92,,0
Ainias Smith,WR161,WR,PHI,872,24.1,No,WR153,995,,0
Mack Hollins,WR162,WR,NEP,865,31.8,No,WR158,962,,0
Chris Brooks,RB112,RB,GBP,861,25.5,No,RB115,878,,0
Emari Demercado,RB113,RB,ARI,857,26.5,No,RB113,907,,0
Trayveon Williams,RB114,RB,NEP,853,27.7,No,RB114,879.99,,0
Josh Reynolds,WR163,WR,NYJ,852,30.4,No,WR164,897,,0
David Bell,WR164,WR,CLE,847,24.6,No,WR162,916,,0
Adam Trautman,TE72,TE,DEN,836.18,28.4,No,TE73,827.38,,0
Deuce Vaughn,RB115,RB,DAL,836,23.7,No,RB112,913,,0
Michael Carter,RB116,RB,ARI,834,26.2,No,RB118,841,,0
Austin Hooper,TE73,TE,NEP,833.35,30.7,No,TE75,791.55,,0
Mason Tipton,WR165,WR,NOS,827,24.8,No,WR165,893,,0
Mecole Hardman,WR166,WR,GBP,825,27.3,No,WR169,839,,0
Zay Jones,WR167,WR,ARI,824,30.3,No,WR170,830,,0
Sione Vaki,RB117,RB,DET,821,24.0,No,RB117,856,,0
Jake Browning,QB57,QB,CIN,817,29.2,No,QB66,380,,0
A.T. Perry,WR168,WR,DEN,816,25.7,No,WR168,844,,0
Donovan Peoples-Jones,WR169,WR,NOS,808,26.4,No,WR172,823,,0
KJ Hamler,WR170,WR,BUF,806,26.0,No,WR171,828,,0
Tip Reiman,TE74,TE,ARI,792.5,23.8,No,TE72,853.0,,0
Trey Sermon,RB118,RB,PIT,790,26.4,No,RB116,876,,0
Van Jefferson,WR171,WR,TEN,784,29.0,No,WR166,862,,0
Samaje Perine,RB119,RB,CIN,781,29.8,No,RB119,836,,0
Isaiah Hodgins,WR172,WR,SFO,767,26.7,No,WR176,758,,0
Hunter Long,TE75,TE,JAC,759.98,26.9,No,TE76,767.68,,0
Harrison Bryant,TE76,TE,PHI,757.2,27.2,No,TE74,825.4,,0
Dylan Laube,RB120,RB,LVR,752,25.6,No,RB122,757.99,,0
Tyler Scott,WR173,WR,CHI,750,23.7,No,WR174,796,,0
Skyy Moore,WR174,WR,KCC,748,24.8,No,WR175,772,,0
Derius Davis,WR175,WR,LAC,747,24.8,No,WR173,803,,0
Kenny McIntosh,RB121,RB,SEA,744,25.4,No,RB120,818,,0
Terrace Marshall,WR176,WR,PHI,740,25.1,No,WR167,848,,0
Tyler Badie,RB122,RB,DEN,729,25.4,No,RB121,795.99,,0
Andrew Ogletree,TE77,TE,IND,724.58,27.0,No,TE81,725.68,,0
Trey Lance,QB58,QB,LAC,714,25.2,No,QB55,459,,0
Tylan Wallace,WR177,WR,BAL,653,26.2,No,WR177,690,,0
Tyler Huntley,QB59,QB,MIA,626,27.4,No,QB57,382,,0
Clyde Edwards-Helaire,RB123,RB,NOS,622,26.2,No,RB123,707,,0
Eric Gray,RB124,RB,NYG,611,25.7,No,RB125,673,,0
Hassan Haskins,RB125,RB,LAC,606,25.6,No,RB124,705,,0
Jalen Reagor,WR178,WR,LAC,575,26.5,No,WR181,584,,0
Tyson Bagent,QB60,QB,CHI,571,25.1,No,QB70,225,,0
Isaiah Bond,WR179,WR,FA,567,-1.0,Yes,WR180,591.99,,0
Justyn Ross,WR180,WR,KCC,563,25.6,No,WR182,581,,0
Dorian Thompson-Robinson,QB61,QB,PHI,549,25.6,No,QB59,381.99,,0
Jacoby Brissett,QB62,QB,ARI,543,32.6,No,QB61,381,,0
Rakim Jarrett,WR181,WR,TBB,521,24.5,No,WR179,613,,0
Pierre Strong Jr.,RB126,RB,CLE,512,26.6,No,RB126,612.99,,0
Jase McClellan,RB127,RB,FA,508,23.0,No,RB128,563,,0
Erik Ezukanma,WR182,WR,MIA,507,25.4,No,WR178,624,,0
Lil'Jordan Humphrey,WR183,WR,NYG,491,27.2,No,WR190,450,,0
Travis Homer,RB128,RB,CHI,484,26.9,No,RB127,572,,0
Jake Haener,QB63,QB,NOS,483,26.3,No,QB91,139,,0
Julius Chestnut,RB129,RB,TEN,474,24.7,No,RB131,508,,0
Malik Heath,WR184,WR,GBP,469,25.4,No,WR184,535,,0
Cedrick Wilson,WR185,WR,NOS,462,29.6,No,WR183,554,,0
Kalif Raymond,WR186,WR,DET,460,30.9,No,WR189,452,,0
Devin Duvernay,WR187,WR,CHI,457,27.8,No,WR186,496,,0
Justin Watson,WR188,WR,HOU,427,29.3,No,WR192,426,,0
DeeJay Dallas,RB130,RB,ARI,413,26.8,No,RB132,440,,0
Justin Shorter,WR189,WR,LVR,402,25.2,No,WR193,411,,0
Deshaun Watson,QB64,QB,CLE,401.99,29.8,No,QB63,380.99,,0
Joshua Dobbs,QB65,QB,NEP,387,30.4,No,QB68,238,,0
Ronnie Rivers,RB131,RB,LAR,375,26.4,No,RB129,529,,0
Marquez Callaway,WR190,WR,FA,374.99,27.3,No,WR196,381.98,,0
Anthony Schwartz,WR191,WR,FA,374.98,24.8,No,WR198,377,,0
